,Name,_step,epoch,train_loss,_runtime,val_loss,_timestamp,val_accuracy,train_accuracy,trainer/global_step,test_loss,test_accuracy,_wandb,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels,sanity_check_equivariance
0,mild-sweep-799,4463,18.0,0.41656169295310974,244.63680839538577,0.4475589394569397,1722758146.6153393,0.8402611017227173,0.84375,4445,,,,False,0.8844216863179456,0.9932281229723312,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,7.550815348185709e-05,6,0.0004753361818639408,32,False
1,noble-sweep-798,10339,,0.1722336709499359,359.7965176105499,,1722758222.7904706,,,10295,,,,False,0.8091752811402669,0.994564940139906,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.054282050781316e-05,6,0.0006754038645345264,32,False
2,dry-sweep-797,7287,31.0,0.24421291053295135,263.8474233150482,0.23040199279785156,1722757850.5325954,0.9178686141967772,0.90625,7254,1.1205843687057495,0.7184000015258789,{'runtime': 262},False,0.8705542303664542,0.995926547025006,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.177108428645891e-05,6,0.0007926514478608539,32,False
3,lunar-sweep-796,8226,35.0,0.2050963789224625,469.5456252098083,0.19335950911045072,1722757885.7467022,0.933059573173523,0.921875,8190,1.153103590011597,0.7085000276565552,{'runtime': 468},False,0.8132246383586376,0.9980474086375904,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,8.488131830322769e-05,6,0.000694144640630634,32,False
4,hearty-sweep-795,8932,38.0,0.13355626165866852,320.5313458442688,0.15715977549552915,1722757574.2478838,0.94387686252594,0.96875,8892,1.2233737707138062,0.7178999781608582,{'runtime': 319},False,0.8145092405328299,0.9912620976671532,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.634370232364982e-05,6,0.0009423453858598206,32,False
5,fearless-sweep-794,4232,18.0,0.4079325497150421,156.77990698814392,0.5143097639083862,1722757241.381214,0.81907719373703,0.8671875,4212,0.9972171187400818,0.6977999806404114,{'runtime': 155},False,0.8521705887359756,0.9943796656202276,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.570588161207955e-05,6,0.000975982209873862,32,False
6,fluent-sweep-793,8461,36.0,0.19705897569656372,484.0892753601074,0.22780509293079376,1722757398.2131617,0.9233773946762084,0.921875,8424,1.0960347652435305,0.691100001335144,{'runtime': 482},False,0.8206024670157058,0.9918094265742512,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.9806102264268477e-05,6,0.00030759287181613256,32,False
7,lunar-sweep-792,30314,,0.47755423188209534,1370.7464151382446,,1722758514.7280912,,0.8359375,30185,,,,False,0.882670698513289,0.990704717991066,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.871510417318235e-05,6,2.8011596233394376e-05,32,False
8,olive-sweep-791,10107,43.0,0.25820687413215637,362.261292219162,0.22878578305244449,1722757071.6695793,0.9223090410232544,0.921875,10062,1.227738618850708,0.6769999861717224,{'runtime': 361},False,0.8928575356600907,0.9937553942261056,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.130597224678512e-05,6,0.000272727566356069,32,False
9,dauntless-sweep-790,3762,16.0,0.5847315788269043,190.58216857910156,0.6318857073783875,1722757128.4200945,0.7727363705635071,0.8203125,3744,1.017857551574707,0.6639000177383423,{'runtime': 189},False,0.853469149777224,0.9918855584510144,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,8.915468990973948e-05,6,0.000296858286748531,32,False
10,bright-sweep-789,7052,30.0,0.28649935126304626,253.84871196746823,0.26586419343948364,1722756693.727941,0.9068843722343444,0.90625,7020,1.0754753351211548,0.7123000025749207,{'runtime': 252},False,0.8098986071639004,0.9985394014961582,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.3151875453851177e-05,6,0.0006847999190611594,32,False
11,rich-sweep-788,10576,45.0,0.16516336798667908,596.4309213161469,0.13717646896839142,1722756897.8569224,0.9503205418586732,0.9453125,10530,1.3999578952789309,0.7124000191688538,{'runtime': 595},False,0.8980527069394705,0.9942783238416862,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.5325619897607736e-05,6,0.0009491009560777,32,False
12,ruby-sweep-787,10812,46.0,0.1546972393989563,508.6914610862732,0.12042255699634552,1722756923.1884072,0.9625066518783568,0.9296875,10764,1.2225158214569092,0.7092999815940857,{'runtime': 507},False,0.8946884322923535,0.9984190382068976,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,9.253322223579676e-05,6,0.0004837935118060149,32,False
13,denim-sweep-786,14807,63.0,0.12846317887306213,524.7720987796783,0.10743459314107896,1722756423.288834,0.9698851704597472,0.96875,14742,1.4133144617080688,0.6796000003814697,{'runtime': 523},False,0.8829784712575182,0.996473233248826,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.673617575588178e-05,6,0.00024124626593857604,32,False
14,stellar-sweep-785,9637,41.0,0.15088529884815216,464.9854707717895,0.13975326716899872,1722756398.3426678,0.9516226053237916,0.9453125,9594,1.3092297315597534,0.7042999863624573,{'runtime': 463},False,0.8416891465983544,0.9974598627633404,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,9.887746858324165e-07,6,0.0007283588422161684,32,False
15,comfy-sweep-784,2822,12.0,0.5583168864250183,138.93669891357422,0.6529611945152283,1722755918.960016,0.7688301205635071,0.765625,2808,0.956960916519165,0.6879000067710876,{'runtime': 137},False,0.8281165191990463,0.9945582676494188,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.21437490153024e-05,6,0.0008293965324564147,32,False
16,azure-sweep-783,11047,47.0,0.17155422270298004,396.3107235431671,0.105063296854496,1722755882.6690185,0.9675814509391784,0.953125,10998,1.2980393171310425,0.7020000219345093,{'runtime': 395},False,0.8248750332344207,0.9974815606806336,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.177525915110523e-06,6,0.0005073858853737989,32,False
17,classic-sweep-782,20681,88.0,0.13774795830249786,1141.3121349811554,0.10568521916866302,1722756285.635969,0.98026841878891,0.96875,20592,1.3976470232009888,0.6622999906539917,{'runtime': 1140},False,0.8128954989269341,0.9927653230397838,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.872061997500596e-05,6,0.00011865762566853236,32,False
