,Name,_runtime,_step,_timestamp,_wandb,epoch,train_accuracy,train_loss,trainer/global_step,val_accuracy,val_loss,test_accuracy,test_loss,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels,sanity_check_equivariance
0,jumping-sweep-830,135.3731665611267,2351,1725361902.8224683,{'runtime': 135},10,0.8125,0.5009850263595581,2341,0.7684962749481201,0.6495212912559509,,,False,0.8487454641851703,0.9987379161681226,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.6310398004783033e-05,6,0.0005545553140067618,32,False
1,deft-sweep-829,121.78805947303772,3524,1722763184.6556697,{'runtime': 122},14,0.7890625,0.5681053400039673,3509,0.8177584409713745,0.5093112587928772,,,False,0.874108533684283,0.9932062226773218,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.60482644586319e-05,6,0.0005183821062339693,32,False
2,sweet-sweep-828,376.5768973827362,10577,1722763048.3087294,{'runtime': 375},45,0.9375,0.13807199895381927,10530,0.9473156929016112,0.1458841860294342,0.7135000228881836,1.3628579378128052,False,0.8259288844665534,0.9942849489337018,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.832648578781845e-05,6,0.0008066766617398731,32,False
3,radiant-sweep-827,359.91534423828125,6578,1722762872.6288593,{'runtime': 360},27,0.9453125,0.17393600940704346,6551,0.9192207455635072,0.2183663994073868,,,False,0.8719304756380972,0.997995710326071,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.468616160137032e-05,6,0.0008599071674891816,32,False
4,happy-sweep-826,574.6669750213623,12075,1722763357.036552,{'runtime': 573},51,0.953125,0.09884405136108398,12023,0.9635750651359558,0.1029619127511978,,,False,0.8120249998762961,0.9933268347523516,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,7.534558345224105e-05,6,0.0007111981471469579,32,False
5,robust-sweep-825,473.3181622028351,13397,1722762659.2438352,{'runtime': 472},57,0.9296875,0.3232190012931824,13338,0.8882879018783569,0.3535090982913971,0.6442000269889832,1.1560988426208496,False,0.8190629341554451,0.9928049307686504,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.009226699660691e-05,6,0.0001059715000178161,32,False
6,effortless-sweep-824,404.9864227771759,8227,1722762769.8711288,{'runtime': 403},35,0.9375,0.14819425344467163,8190,0.941773533821106,0.16499462723731995,0.7177000045776367,1.1477694511413574,False,0.882837008045445,0.9963189093621228,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,8.648480587053168e-05,6,0.0007123420785369216,32,False
7,driven-sweep-823,608.7008655071259,10811,1722762495.7169566,{'runtime': 607},46,0.9375,0.1315028965473175,10764,0.96854966878891,0.09262993931770323,0.7092999815940857,1.369814395904541,False,0.8763708447112504,0.9901141198449044,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,9.192984530500996e-05,6,0.0008653202924598613,32,False
8,dulcet-sweep-822,394.9887511730194,11047,1722762173.5763862,{'runtime': 393},47,0.984375,0.11623188108205797,10998,0.9420406222343444,0.17670270800590515,0.6833000183105469,1.2427096366882324,False,0.8182044391856707,0.9958271275215376,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.3088602815441452e-06,6,0.0002757833980469946,32,False
9,soft-sweep-821,376.6471152305603,7757,1722762348.472973,{'runtime': 375},33,0.96875,0.2014979124069214,7722,0.9369992017745972,0.1855855733156204,0.7096999883651733,1.0829511880874634,False,0.8682182321691184,0.9966615564053156,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,8.160594371578256e-05,6,0.0005944634998562179,32,False
10,sage-sweep-820,494.7726593017578,8696,1722761870.9079983,{'runtime': 493},37,0.9140625,0.2519165873527527,8658,0.944945216178894,0.17131350934505463,0.7039999961853027,1.1076922416687012,False,0.8930215533476178,0.993186828130014,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.897669329843005e-05,6,0.000418754707434927,32,False
11,revived-sweep-819,384.48732900619507,10812,1722761763.77493,{'runtime': 383},46,0.953125,0.11285808682441711,10764,0.9630408883094788,0.1057954803109169,0.7099999785423279,1.3535536527633667,False,0.8533065015194286,0.9905580547084786,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,7.776834511613365e-05,6,0.0007541728780670916,32,False
12,logical-sweep-818,548.1226172447205,11987,1722761953.6754382,{'runtime': 547},51,0.9375,0.19270405173301697,11934,0.938568353652954,0.2106572687625885,0.6661999821662903,1.2084252834320068,False,0.8048473698017096,0.9953015154287186,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,7.027263913192406e-05,6,0.0001780504633625367,32,False
13,happy-sweep-817,294.72615337371826,8227,1722761365.2035685,{'runtime': 293},35,0.9296875,0.2131124585866928,8190,0.9297542572021484,0.19657348096370697,0.7062000036239624,1.2434909343719482,False,0.8426971605250019,0.9901917517886272,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,9.669476532081056e-05,6,0.0008853262538646346,32,False
14,confused-sweep-816,445.7475938796997,7756,1722761358.09224,{'runtime': 444},33,0.921875,0.23376677930355072,7722,0.931290090084076,0.20042699575424192,0.7095000147819519,1.1096545457839966,False,0.8918996859685994,0.9915210970109152,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.603359329804945e-05,6,0.0005713081815308996,32,False
15,deep-sweep-815,360.87690329551697,7522,1722761390.8289554,{'runtime': 359},32,0.9296875,0.24171075224876404,7488,0.92167466878891,0.22590342164039612,0.7050999999046326,1.1382781267166138,False,0.8590482473211696,0.9950685508995856,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.0025020610738805e-05,6,0.000638480135237724,32,False
16,dark-sweep-814,416.9906270503998,11752,1722761059.3171442,{'runtime': 415},50,0.9609375,0.13354982435703278,11700,0.9651108384132384,0.1146502122282982,0.6980999708175659,1.2963881492614746,False,0.8830643974876702,0.9961194950426208,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.047040917202737e-06,6,0.0003752019059021062,32,False
17,amber-sweep-813,456.2394049167633,7991,1722760897.228463,{'runtime': 455},34,0.921875,0.23208510875701904,7956,0.9329259991645812,0.1933654099702835,0.713100016117096,1.0969654321670532,False,0.8458195106446478,0.9913771855729252,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,7.571658673625892e-05,6,0.0005724147675104,32,False
18,lunar-sweep-812,504.8293616771698,10812,1722761015.620787,{'runtime': 503},46,0.9453125,0.1708788275718689,10764,0.9579660892486572,0.12264178693294524,0.7064999938011169,1.4291396141052246,False,0.8338692068795931,0.9940726330964094,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,7.781708998456761e-05,6,0.0007605602853870695,32,False
19,avid-sweep-811,444.08325123786926,12457,1722760627.1408494,{'runtime': 443},53,0.96875,0.09371144324541092,12402,0.9688501358032228,0.0973205491900444,0.6998000144958496,1.378140926361084,False,0.8705672858686876,0.993186810873913,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.564692817478325e-05,6,0.000508907823756386,32,False
20,treasured-sweep-810,617.056479215622,11046,1722760423.251197,{'runtime': 615},47,0.96875,0.10851346701383592,10998,0.96895033121109,0.10309212654829024,0.7057999968528748,1.3232017755508425,False,0.8865328091383136,0.9976895782236042,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.6949407988069407e-05,6,0.0005805935414376966,32,False
21,major-sweep-809,336.62631368637085,9402,1722760170.8840227,{'runtime': 335},40,0.9296875,0.16152426600456238,9360,0.9547943472862244,0.13515667617321014,0.7113000154495239,1.186792016029358,False,0.8841184181986886,0.9969739480327602,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.995300020513378e-05,6,0.0006097779680461875,32,False
22,fluent-sweep-808,431.16112780570984,8932,1722760498.0017488,{'runtime': 430},38,0.8671875,0.493403047323227,8892,0.8445512652397156,0.4671938121318817,0.6600000262260437,1.0488930940628052,False,0.8025929209856335,0.992181401400446,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.194074074323092e-05,6,0.0001214996666412947,32,False
23,upbeat-sweep-807,266.49598121643066,5407,1722760053.2567842,{'runtime': 265},23,0.8984375,0.304175466299057,5382,0.8947983384132385,0.30530938506126404,0.7159000039100647,0.9521558880805968,False,0.8602439734474903,0.9908039278775496,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.209905890562314e-05,6,0.0007528765799901858,32,False
24,fallen-sweep-806,505.55602741241455,8931,1722759788.8368664,{'runtime': 503},38,0.9140625,0.2219356000423431,8892,0.9479166865348816,0.14596280455589294,0.725600004196167,1.1640946865081787,False,0.8460388771748388,0.9946661763678286,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.584725339532239e-05,6,0.0008618815327078171,32,False
25,efficient-sweep-805,458.62377858161926,12927,1722759817.2413745,{'runtime': 457},55,0.9375,0.24409188330173492,12870,0.9402710795402528,0.202702134847641,0.6805999875068665,1.1778422594070437,False,0.8661340996919449,0.9927049015775375,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,9.874132451965706e-05,6,0.00017002945341569898,32,False
26,vibrant-sweep-804,379.81839060783386,7992,1722759769.3264496,{'runtime': 378},34,0.9296875,0.18095701932907104,7956,0.9408053159713744,0.17055250704288483,0.7195000052452087,1.1386733055114746,False,0.8823251961766125,0.9910686093089413,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.299755072645747e-05,6,0.000992734312363972,32,False
27,frosty-sweep-803,177.30950140953064,3527,1722759376.4564223,{'runtime': 176},15,0.8515625,0.424093633890152,3510,0.8052550554275513,0.5451775193214417,0.7006000280380249,0.9150257706642152,False,0.8515781541813889,0.998548954755738,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.27692198507752e-06,6,0.0008225955302001773,32,False
28,serene-sweep-802,613.2855052947998,17392,1722759343.3165684,{'runtime': 612},74,0.9921875,0.06505156308412552,17316,0.9793002009391784,0.07101520895957947,0.6816999912261963,1.6488019227981567,False,0.8913028169441569,0.992187558831303,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.162617816534017e-05,6,0.0003002289263329885,32,False
29,noble-sweep-801,791.9487721920013,14101,1722759265.1257272,{'runtime': 790},60,0.890625,0.30566659569740295,14040,0.9316573143005372,0.2413144409656525,0.6610000133514404,1.1839433908462524,False,0.8944267931489952,0.9902820099943483,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,9.927331161971352e-05,6,0.00013401148183735085,32,False
30,icy-sweep-800,420.5120589733124,11752,1722758716.553137,{'runtime': 419},50,0.9765625,0.07878211885690689,11700,0.9647101759910583,0.10084965825080872,0.7156000137329102,1.476324200630188,False,0.8644302317523549,0.995959184762632,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,8.719153915167454e-05,6,0.0009309210122487696,32,False
31,mild-sweep-799,555.5731663703918,9871,1722758457.5516973,{'runtime': 554},42,0.9609375,0.15688355267047882,9828,0.9506210088729858,0.1494208127260208,0.7020999789237976,1.245499610900879,False,0.8844216863179456,0.9932281229723312,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,7.550815348185709e-05,6,0.0004753361818639408,32,False
32,noble-sweep-798,418.79121232032776,11752,1722758281.7851653,{'runtime': 417},50,0.9375,0.1444193720817566,11700,0.9697515964508056,0.09124576300382614,0.718999981880188,1.3295820951461792,False,0.8091752811402669,0.994564940139906,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.054282050781316e-05,6,0.0006754038645345264,32,False
33,dry-sweep-797,263.8474233150482,7287,1722757850.5325954,{'runtime': 262},31,0.90625,0.24421291053295135,7254,0.9178686141967772,0.23040199279785156,0.7184000015258789,1.1205843687057495,False,0.8705542303664542,0.995926547025006,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.177108428645891e-05,6,0.0007926514478608539,32,False
34,lunar-sweep-796,469.5456252098083,8226,1722757885.7467022,{'runtime': 468},35,0.921875,0.2050963789224625,8190,0.933059573173523,0.19335950911045072,0.7085000276565552,1.153103590011597,False,0.8132246383586376,0.9980474086375904,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,8.488131830322769e-05,6,0.000694144640630634,32,False
35,hearty-sweep-795,320.5313458442688,8932,1722757574.2478838,{'runtime': 319},38,0.96875,0.13355626165866852,8892,0.94387686252594,0.15715977549552915,0.7178999781608582,1.2233737707138062,False,0.8145092405328299,0.9912620976671532,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.634370232364982e-05,6,0.0009423453858598206,32,False
36,fearless-sweep-794,156.77990698814392,4232,1722757241.381214,{'runtime': 155},18,0.8671875,0.4079325497150421,4212,0.81907719373703,0.5143097639083862,0.6977999806404114,0.9972171187400818,False,0.8521705887359756,0.9943796656202276,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.570588161207955e-05,6,0.000975982209873862,32,False
37,fluent-sweep-793,484.0892753601074,8461,1722757398.2131617,{'runtime': 482},36,0.921875,0.19705897569656372,8424,0.9233773946762084,0.22780509293079376,0.691100001335144,1.0960347652435305,False,0.8206024670157058,0.9918094265742512,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.9806102264268477e-05,6,0.00030759287181613256,32,False
38,lunar-sweep-792,2039.7869567871096,44887,1722759183.768633,{'runtime': 2038},191,0.90625,0.32500752806663513,44694,0.9231436848640442,0.2932705581188202,0.6338000297546387,1.2148698568344116,False,0.882670698513289,0.990704717991066,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.871510417318235e-05,6,2.8011596233394376e-05,32,False
39,olive-sweep-791,362.261292219162,10107,1722757071.6695793,{'runtime': 361},43,0.921875,0.25820687413215637,10062,0.9223090410232544,0.22878578305244449,0.6769999861717224,1.227738618850708,False,0.8928575356600907,0.9937553942261056,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.130597224678512e-05,6,0.000272727566356069,32,False
40,dauntless-sweep-790,190.58216857910156,3762,1722757128.4200945,{'runtime': 189},16,0.8203125,0.5847315788269043,3744,0.7727363705635071,0.6318857073783875,0.6639000177383423,1.017857551574707,False,0.853469149777224,0.9918855584510144,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,8.915468990973948e-05,6,0.000296858286748531,32,False
41,bright-sweep-789,253.84871196746823,7052,1722756693.727941,{'runtime': 252},30,0.90625,0.28649935126304626,7020,0.9068843722343444,0.26586419343948364,0.7123000025749207,1.0754753351211548,False,0.8098986071639004,0.9985394014961582,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.3151875453851177e-05,6,0.0006847999190611594,32,False
42,rich-sweep-788,596.4309213161469,10576,1722756897.8569224,{'runtime': 595},45,0.9453125,0.16516336798667908,10530,0.9503205418586732,0.13717646896839142,0.7124000191688538,1.3999578952789309,False,0.8980527069394705,0.9942783238416862,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.5325619897607736e-05,6,0.0009491009560777,32,False
43,ruby-sweep-787,508.6914610862732,10812,1722756923.1884072,{'runtime': 507},46,0.9296875,0.1546972393989563,10764,0.9625066518783568,0.12042255699634552,0.7092999815940857,1.2225158214569092,False,0.8946884322923535,0.9984190382068976,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,9.253322223579676e-05,6,0.0004837935118060149,32,False
44,denim-sweep-786,524.7720987796783,14807,1722756423.288834,{'runtime': 523},63,0.96875,0.12846317887306213,14742,0.9698851704597472,0.10743459314107896,0.6796000003814697,1.4133144617080688,False,0.8829784712575182,0.996473233248826,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.673617575588178e-05,6,0.00024124626593857604,32,False
45,stellar-sweep-785,464.9854707717895,9637,1722756398.3426678,{'runtime': 463},41,0.9453125,0.15088529884815216,9594,0.9516226053237916,0.13975326716899872,0.7042999863624573,1.3092297315597534,False,0.8416891465983544,0.9974598627633404,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,9.887746858324165e-07,6,0.0007283588422161684,32,False
46,comfy-sweep-784,138.93669891357422,2822,1722755918.960016,{'runtime': 137},12,0.765625,0.5583168864250183,2808,0.7688301205635071,0.6529611945152283,0.6879000067710876,0.956960916519165,False,0.8281165191990463,0.9945582676494188,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.21437490153024e-05,6,0.0008293965324564147,32,False
47,azure-sweep-783,396.3107235431671,11047,1722755882.6690185,{'runtime': 395},47,0.953125,0.17155422270298004,10998,0.9675814509391784,0.105063296854496,0.7020000219345093,1.2980393171310425,False,0.8248750332344207,0.9974815606806336,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.177525915110523e-06,6,0.0005073858853737989,32,False
48,classic-sweep-782,1141.3121349811554,20681,1722756285.635969,{'runtime': 1140},88,0.96875,0.13774795830249786,20592,0.98026841878891,0.10568521916866302,0.6622999906539917,1.3976470232009888,False,0.8128954989269341,0.9927653230397838,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.872061997500596e-05,6,0.00011865762566853236,32,False
49,copper-sweep-781,327.5656051635742,6817,1722755764.0591133,{'runtime': 326},29,0.9140625,0.24768318235874176,6786,0.9143629670143129,0.24523209035396576,0.720300018787384,1.0318387746810913,False,0.8714070909455569,0.9901114668921616,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,9.026987701257418e-05,6,0.0009412338815386616,32,False
50,magic-sweep-780,326.8411693572998,9167,1722755474.8607705,{'runtime': 325},39,0.921875,0.2141369730234146,9126,0.9303886294364928,0.2084312289953232,0.6837999820709229,1.1590416431427002,False,0.8800620183441389,0.9951231310142792,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.040717562238496e-05,6,0.0003297617128663177,32,False
51,distinctive-sweep-779,390.974024772644,11047,1722755137.3390217,{'runtime': 389},47,0.9140625,0.2176784723997116,10998,0.961104452610016,0.11801224946975708,0.7128999829292297,1.3424923419952393,False,0.8995661334300125,0.990206910906258,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.033790205327535e-05,6,0.0007439346057400432,32,False
52,youthful-sweep-778,546.6567018032074,9636,1722755130.7501948,{'runtime': 545},41,0.9296875,0.1638837307691574,9594,0.9571313858032228,0.12986253201961517,0.7059000134468079,1.2335708141326904,False,0.8114732869055775,0.9967761976374888,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.2580408245282165e-05,6,0.0005775771429631539,32,False
53,lilac-sweep-777,506.6975996494293,10812,1722755419.9233518,{'runtime': 505},46,0.96875,0.09995456784963608,10764,0.9693843722343444,0.0946325734257698,0.7143999934196472,1.365126609802246,False,0.8130073737994055,0.9941160519728904,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.62128727177273e-05,6,0.000778901750549591,32,False
54,logical-sweep-776,370.23988604545593,10342,1722754730.831454,{'runtime': 368},44,0.9765625,0.09154631197452544,10296,0.968583047389984,0.0980287343263626,0.718999981880188,1.309799313545227,False,0.8488305322122841,0.9962443491451884,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,7.422805819726533e-05,6,0.0009321291189443848,32,False
55,scarlet-sweep-775,319.3798975944519,8932,1722754344.7918415,{'runtime': 318},38,0.8828125,0.30127203464508057,8892,0.9388688802719116,0.17379820346832275,0.6980999708175659,1.250336527824402,False,0.8280826182559671,0.9906889784865148,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.5065003485611006e-05,6,0.0005761045591788181,32,False
56,cosmic-sweep-774,905.7509171962738,16216,1722754569.5146782,{'runtime': 904},69,0.921875,0.2647045850753784,16146,0.9160990715026855,0.2794131636619568,0.6481999754905701,1.2249747514724731,False,0.8874551047965862,0.996253308149394,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.5910390756769734e-05,6,9.427014748894318e-05,32,False
