,Name,epoch,_runtime,test_loss,test_accuracy,expected_gradient_norm,fraction_single_pixel_polygons,smoothness_squared_penalty_per_polygon,num_polygons,train_accuracy,total_num_interpolations,smoothness_squared_penalty,_wandb,val_loss,_timestamp,train_loss,val_accuracy,trainer/global_step,fraction_polygons_counted,_step,smoothness_penalty,smoothness_penalty_per_polygon,cpu,group,aa-seed,aa_seed,dropout,batch-norm,batch-size,batch_norm,batch_size,max-epochs,max_epochs,model_name,log-results,log_results,plot_polygons,model_save_dir,num-hidden-layers,num_hidden_layers,num-interpolations,num_interpolations,hidden_group_channels,full-conv-hidden-channels,full_conv_hidden_channels,sanity_check_equivariance
0,group=trivial-full_conv_hc=49-bn=True-drop=0.0-seed16,35,2052.0207283496857,0.20394320785999295,0.934499979019165,16.913428226562495,0.04800142398755293,0.1199957711278884,141283.0,0.9404296875,7500000.0,17426.822801515667,{'runtime': 2050},0.19018226861953735,1709183949.0446262,0.17525705695152283,0.9400189518928528,1680,0.018837733333333335,1724,10881.622529544402,0.07622623596976093,False,trivial,16,16,0,True,1024,True,1024,-1,-1,group=trivial-full_conv_hc=49-bn=True-drop=0.0-seed16,True,True,False,,5,5,750000,750000,2401,49,49,False
1,group=translate_HW-full_conv_hc=3-bn=True-drop=0.0-seed13,43,957.2945716381072,0.20117716491222384,0.940400004386902,16.25961613496094,0.03759667492689743,6.242410520738484,11920.0,0.966796875,7500000.0,66937.20530555595,{'runtime': 956},0.1964236944913864,1709181880.2320666,0.11140681058168413,0.9584798216819764,2064,0.0015893333333333332,2116,16469.476521549397,1.411071548264984,False,translate_HW,13,13,0,True,1024,True,1024,-1,-1,group=translate_HW-full_conv_hc=3-bn=True-drop=0.0-seed13,True,True,False,,5,5,750000,750000,147,3,3,False
2,group=translate_H-full_conv_hc=3-bn=True-drop=0.0-seed11,41,808.0059504508972,0.23475299775600433,0.9265000224113464,13.247352931477868,0.03506736665001625,2.9579982830438336,10477.0,0.943359375,7500000.0,29638.732942698116,{'runtime': 806},0.23489081859588623,1709180905.7364194,0.20453539490699768,0.935724914073944,1968,0.001396933333333333,2018,10642.624415186869,1.0370390366885212,False,translate_H,11,11,0,True,1024,True,1024,-1,-1,group=translate_H-full_conv_hc=3-bn=True-drop=0.0-seed11,True,True,False,,5,5,750000,750000,147,3,3,False
3,group=trivial-full_conv_hc=3-bn=True-drop=0.0-seed11,31,621.626062631607,0.3192428648471832,0.8970999717712402,12.747966505794272,0.04550227197360855,3.842852879246635,2359.0,0.912109375,7500000.0,9150.339146863353,{'runtime': 620},0.3238092064857483,1709180548.8388326,0.26343369483947754,0.906765639781952,1488,0.00031453333333333335,1529,2020.8233514300068,0.843031031419241,False,trivial,11,11,0,True,1024,True,1024,-1,-1,group=trivial-full_conv_hc=3-bn=True-drop=0.0-seed11,True,True,False,,5,5,750000,750000,147,3,3,False
4,group=translate_HW-full_conv_hc=1-bn=True-drop=0.0-seed11,93,1125.9258801937103,0.31626540422439575,0.9047999978065492,15.157809086588545,0.057065023846026866,22.46557053193073,560.0,0.90625,7500000.0,12913.971312980022,{'runtime': 1124},0.3193131983280182,1709179907.998788,0.2915072441101074,0.9064444303512572,4464,7.466666666666667e-05,4567,1698.2661609486677,2.9823679590091325,False,translate_HW,11,11,0,True,1024,True,1024,-1,-1,group=translate_HW-full_conv_hc=1-bn=True-drop=0.0-seed11,True,True,False,,5,5,750000,750000,49,1,1,False
5,group=translate_H-full_conv_hc=1-bn=True-drop=0.0-seed11,53,797.1301941871643,0.5338078141212463,0.8307999968528748,11.42633408688151,0.031098234475051372,14.335314222994285,696.0,0.8369140625,7500000.0,10602.95974974592,{'runtime': 796},0.5470282435417175,1709178766.3397102,0.5173035264015198,0.8335305452346802,2544,9.28e-05,2607,1527.1156728869537,2.145142030194849,False,translate_H,11,11,0,True,1024,True,1024,-1,-1,group=translate_H-full_conv_hc=1-bn=True-drop=0.0-seed11,True,True,False,,5,5,750000,750000,49,1,1,False
6,group=trivial-full_conv_hc=1-bn=True-drop=0.0-seed11,36,595.093626499176,0.5171186923980713,0.8274000287055969,13.658122976595052,0.05076603090223684,13.074680770134588,840.0,0.845703125,7500000.0,10997.76500914489,{'runtime': 593},0.5276899933815002,1709177952.5824184,0.4725140631198883,0.8371821641921997,1728,0.00011199999999999998,1774,1601.4709715317003,1.8824259061700197,False,trivial,11,11,0,True,1024,True,1024,-1,-1,group=trivial-full_conv_hc=1-bn=True-drop=0.0-seed11,True,True,False,,5,5,750000,750000,49,1,1,False
7,group=translate_HW-full_conv_hc=49-bn=True-drop=0.0-seed10,20,6010.377455472946,0.15246646106243134,0.9627000093460084,23.76787964251302,0.0545999007035982,0.5543493717486048,197168.0,0.9970703125,7500000.0,106534.2253764279,{'runtime': 6008},0.13375332951545715,1709180077.6295714,0.010341978631913662,0.9911752939224244,960,0.026289066666666663,989,42897.19184292713,0.21708564932065028,False,translate_HW,10,10,0,True,1024,True,1024,-1,-1,group=translate_HW-full_conv_hc=49-bn=True-drop=0.0-seed10,True,True,False,,5,5,750000,750000,2401,49,49,False
8,group=translate_H-full_conv_hc=49-bn=True-drop=0.0-seed10,21,3597.018691778183,0.14914993941783905,0.9531000256538392,15.111813407454424,0.043429080248554144,0.19522278762000567,43422.0,0.96875,7500000.0,7986.884609689005,{'runtime': 3595},0.1360999494791031,1709177344.4657748,0.1010173037648201,0.964379906654358,1008,0.005789600000000001,1039,3775.575853414077,0.08695150271822139,False,translate_H,10,10,0,True,1024,True,1024,-1,-1,group=translate_H-full_conv_hc=49-bn=True-drop=0.0-seed10,True,True,False,,5,5,750000,750000,2401,49,49,False
9,group=trivial-full_conv_hc=49-bn=True-drop=0.0-seed10,30,2020.8207483291624,0.22717559337615967,0.9298999905586244,16.41005098457031,0.049261343495090905,0.16494206941809775,140978.0,0.9453125,7500000.0,21163.926891747953,{'runtime': 2019},0.2116936296224594,1709174046.8149583,0.17198018729686737,0.938987672328949,1440,0.018797066666666667,1479,10065.55857255157,0.07198020133394475,False,trivial,10,10,0,True,1024,True,1024,-1,-1,group=trivial-full_conv_hc=49-bn=True-drop=0.0-seed10,True,True,False,,5,5,750000,750000,2401,49,49,False
