,Name,train_loss,test_accuracy,trainer/global_step,_step,epoch,_wandb,val_loss,train_accuracy,_runtime,test_loss,_timestamp,val_accuracy,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels
0,magic-sweep-200,0.10513362288475037,0.964900016784668,12636,12663,27,{'runtime': 600},0.08607903867959976,0.9453125,601.5956380367279,0.1209140345454216,1715645286.1858091,0.9715544581413268,False,0.9,0.999,translateW,50,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
1,graceful-sweep-199,0.12934674322605133,0.9592999815940856,14976,15009,32,{'runtime': 599},0.10240790992975236,0.9765625,600.4012010097504,0.12624165415763855,1715645073.181192,0.966003954410553,False,0.9,0.999,translateW,50,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
2,dulcet-sweep-198,0.08144403249025345,0.9430000185966492,13572,13601,29,{'runtime': 641},0.16441011428833008,0.9765625,642.657422542572,0.1763237565755844,1715644670.4798017,0.946380853652954,False,0.9,0.999,translateW,50,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
3,curious-sweep-197,0.2609112858772278,0.9025999903678894,14508,14540,31,{'runtime': 574},0.2953736186027527,0.921875,576.149983882904,0.3102290630340576,1715644456.0376148,0.9125934839248656,False,0.9,0.999,translateW,50,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
4,serene-sweep-196,0.07674034684896469,0.9621999859809875,13572,13601,29,{'runtime': 646},0.08503611385822296,0.9921875,647.9701552391052,0.11755623668432236,1715644008.1804905,0.97193843126297,False,0.9,0.999,translateW,49,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
5,playful-sweep-195,0.1098206266760826,0.94650000333786,8892,8912,19,{'runtime': 343},0.13334450125694275,0.96875,344.4876379966736,0.1620079129934311,1715643864.347371,0.9566890597343444,False,0.9,0.999,translateW,49,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
6,denim-sweep-194,0.259033739566803,0.9280999898910522,6084,6097,13,{'runtime': 289},0.2149658203125,0.9140625,290.58606600761414,0.2314581274986267,1715643343.378296,0.9317073822021484,False,0.9,0.999,translateW,49,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
7,proud-sweep-193,0.2901376783847809,0.8967000246047974,14040,14071,30,{'runtime': 548},0.3155314326286316,0.8984375,550.111252784729,0.32491880655288696,1715643507.5354855,0.9004991054534912,False,0.9,0.999,translateW,49,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
8,leafy-sweep-192,0.07221835106611252,0.964299976825714,11700,11725,25,{'runtime': 553},0.08865822851657867,0.96875,554.3949320316315,0.1149456575512886,1715643033.588699,0.9708032608032228,False,0.9,0.999,translateW,48,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
9,genial-sweep-191,0.034911807626485825,0.9595999717712402,15912,15947,34,{'runtime': 626},0.09667681902647018,0.9921875,627.3936116695404,0.1270965039730072,1715642939.7560616,0.9669888615608216,False,0.9,0.999,translateW,48,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
10,magic-sweep-190,0.12021774798631668,0.9366999864578248,12168,12194,26,{'runtime': 571},0.17194247245788574,0.9765625,572.9556562900543,0.19315798580646515,1715642464.1594932,0.947081983089447,False,0.9,0.999,translateW,48,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
11,lyric-sweep-189,0.1934068351984024,0.883400022983551,10764,10788,23,{'runtime': 416},0.3679526746273041,0.953125,417.9560620784759,0.37694400548934937,1715642296.2759302,0.8914262652397156,False,0.9,0.999,translateW,48,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
12,amber-sweep-188,0.0714210495352745,0.965399980545044,17316,17353,37,{'runtime': 818},0.0673048347234726,0.984375,820.2040238380432,0.10865311324596404,1715641874.8582518,0.976120114326477,False,0.9,0.999,translateW,47,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
13,pleasant-sweep-187,0.1933777630329132,0.958199977874756,17784,17823,38,{'runtime': 713},0.10271281003952026,0.9375,714.2048919200897,0.13126680254936218,1715641861.873421,0.9657785892486572,False,0.9,0.999,translateW,47,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
14,curious-sweep-186,0.14065513014793396,0.9388999938964844,10764,10788,23,{'runtime': 424},0.16878816485404968,0.9296875,425.165424823761,0.1842675656080246,1715641134.3901608,0.9435346722602844,False,0.9,0.999,translateW,47,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
