,Name,_timestamp,num_polygons,test_accuracy,smoothness_penalty,expected_gradient_norm,fraction_polygons_counted,_wandb,test_loss,smoothness_squared_penalty_per_polygon,val_accuracy,smoothness_penalty_per_polygon,_step,val_loss,fraction_single_pixel_polygons,epoch,total_num_interpolations,train_accuracy,trainer/global_step,smoothness_squared_penalty,_runtime,train_loss,cpu,pool,group,aa-seed,aa_seed,augment,dropout,ablation,batch-norm,batch-size,batch_norm,batch_size,max-epochs,max_epochs,model_name,log-results,log_results,plot_polygons,model_save_dir,num-interpolations,num_interpolations,hidden-group-channels,hidden_group_channels,sanity_check_equivariance,patience
0,group=flipH-group-hc=96-bn=True-drop=0.0-pool=max-seed16,1705166328.7598913,1073260,0.9440600275993348,32043.067125171423,3.945807307145182,0.07155066666666665,{'runtime': 1422},0.1734956055879593,0.006339572750701785,0.9508222341537476,0.030160710140628683,290,0.1754069626331329,0.08089295904701073,28,15000000,0.951171875,252,6919.300491313916,1423.0300793647766,0.13489452004432678,False,max,flipH,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=flipH-group-hc=96-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,96,96,False,
1,group=flipH-group-hc=68-bn=True-drop=0.0-pool=max-seed16,1705165670.5638435,1165091,0.952340006828308,12392.904485086445,3.8831428377197263,0.07767273333333333,{'runtime': 1335},0.147906094789505,0.0017148963292625192,0.9575353860855104,0.011679630734646928,480,0.15175794064998627,0.3552723776838432,47,15000000,0.962890625,423,1586.1687599375414,1338.4412183761597,0.12488126754760742,False,max,flipH,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=flipH-group-hc=68-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,68,68,False,5.0
2,group=flipH-group-hc=48-bn=True-drop=0.0-pool=max-seed16,1705164891.2756317,873615,0.9457200169563292,47519.05439773202,4.017110776204428,0.058241,{'runtime': 1161},0.16982178390026093,0.010789299046502812,0.9492610096931458,0.05483730033469081,470,0.16958358883857727,0.06804858795499,46,15000000,0.9599609375,414,9132.21984133916,1163.048457622528,0.12207945436239244,False,max,flipH,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=flipH-group-hc=48-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,48,48,False,
3,group=flipH-group-hc=34-bn=True-drop=0.0-pool=max-seed16,1705164315.275379,318512,0.9301400184631348,7502.243942442954,3.5709618700927734,0.021234133333333332,{'runtime': 1029},0.2177230417728424,0.0049986304085802005,0.9343255758285522,0.023443256722551705,360,0.21947695314884183,0.17226246657711836,35,15000000,0.9423828125,315,1534.290432986074,1030.9574539661407,0.19008448719978333,False,max,flipH,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=flipH-group-hc=34-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,34,34,False,5.0
4,group=flipH-group-hc=24-bn=True-drop=0.0-pool=max-seed16,1705163710.8515213,364012,0.9105799794197084,21586.27425187599,4.165124466129558,0.024267466666666668,{'runtime': 912},0.28113487362861633,0.02486169832006867,0.9134575128555298,0.059681700652271505,320,0.28500697016716003,0.04352921946368824,31,15000000,0.9052734375,279,8845.765955941088,914.000829219818,0.29291224479675293,False,max,flipH,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=flipH-group-hc=24-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,24,24,False,
5,group=rot90-group-hc=96-bn=True-drop=0.0-pool=max-seed16,1705163270.559979,2739537,0.9602199792861938,22398.766402948648,4.520073034757487,0.1826358,{'runtime': 1549},0.12495459616184236,0.0007396002040695912,0.9673709273338318,0.008671627844446205,350,0.12277498841285706,0.46486757097594456,34,15000000,0.9794921875,306,1891.55842920742,1550.1079819202423,0.06580062210559845,False,max,rot90,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=rot90-group-hc=96-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,96,96,False,5.0
6,group=rot90-group-hc=68-bn=True-drop=0.0-pool=max-seed16,1705162779.251756,1008474,0.9548400044441224,41425.7848469913,3.5218875301350914,0.0672316,{'runtime': 1349},0.14081571996212006,0.005511203834352956,0.9629475474357604,0.041476397705036645,370,0.13742291927337646,0.07696305316093136,36,15000000,0.9677734375,324,5417.133089844137,1350.5733289718628,0.09966765344142914,False,max,rot90,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=rot90-group-hc=68-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,68,68,False,
7,group=rot90-group-hc=48-bn=True-drop=0.0-pool=max-seed16,1705161705.0371263,1129651,0.9510800242424012,26714.298149634385,4.31968040633138,0.07531006666666668,{'runtime': 1153},0.1559702306985855,0.002556790341880814,0.9574313163757324,0.02327962181106667,370,0.1574963629245758,0.3513829195288667,36,15000000,0.9609375,324,2954.0373815489756,1154.231948375702,0.10661056637763976,False,max,rot90,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=rot90-group-hc=48-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,48,48,False,5.0
8,group=rot90-group-hc=34-bn=True-drop=0.0-pool=max-seed16,1705161413.428203,776434,0.9421799778938292,64156.694478832185,4.665685150472005,0.05176226666666667,{'runtime': 1067},0.1846509724855423,0.020075905109323555,0.9464508891105652,0.08259286649617395,420,0.1855485588312149,0.06327401829521044,41,15000000,0.9521484375,369,15500.542167657955,1069.2206749916077,0.13809998333454132,False,max,rot90,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=rot90-group-hc=34-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,34,34,False,
9,group=rot90-group-hc=24-bn=True-drop=0.0-pool=max-seed16,1705160324.8792727,340098,0.9058799743652344,22261.291648234634,3.9240817098632816,0.0226732,{'runtime': 931},0.3019479811191559,0.014678933191955588,0.9113759398460388,0.06527069196667834,300,0.30452826619148254,0.04048094565436964,29,15000000,0.91015625,261,5037.873931205611,932.442168712616,0.2753801941871643,False,max,rot90,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=rot90-group-hc=24-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,24,24,False,
