,Name,fraction_single_pixel_polygons,val_loss,num_polygons,test_accuracy,smoothness_penalty,train_loss,smoothness_squared_penalty_per_polygon,smoothness_penalty_per_polygon,epoch,val_accuracy,train_accuracy,total_num_interpolations,_timestamp,trainer/global_step,expected_gradient_norm,fraction_polygons_counted,_step,_wandb,_runtime,test_loss,smoothness_squared_penalty,cpu,group,aa-seed,aa_seed,dropout,batch-norm,batch-size,batch_norm,batch_size,max-epochs,max_epochs,model_name,log-results,log_results,plot_polygons,model_save_dir,num-hidden-layers,num_hidden_layers,num-interpolations,num_interpolations,hidden_group_channels,full-conv-hidden-channels,full_conv_hidden_channels,sanity_check_equivariance
0,group=translate_HW-full_conv_hc=49-bn=False-drop=0.0-seed19,0.05533696250855805,0.15859627723693848,206712.0,0.9616000056266784,45822.06432952918,0.011628849431872368,0.4344154033065218,0.2213795961366945,19.0,0.9899073839187622,0.99609375,7500000.0,1709438845.484477,912.0,25.983606534765624,0.0275616,940.0,{'runtime': 5768},5770.095835924149,0.14404873549938202,87214.51785190668,False,translate_HW,19,19,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=49-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,2401.0,49,49,False
1,group=translate_H-full_conv_hc=49-bn=False-drop=0.0-seed19,0.052430559754928587,0.13155436515808103,171928.0,0.9603000283241272,17153.442105903523,0.08948494493961334,0.10255383652477756,0.099503571737569,25.0,0.9681836366653442,0.970703125,7500000.0,1709435710.5324311,1200.0,16.129301496484377,0.022923733333333335,1235.0,{'runtime': 3036},3038.0005400180817,0.1296730935573578,16683.335888546593,False,translate_H,19,19,0,False,1024,False,1024,-1,-1,group=translate_H-full_conv_hc=49-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,2401.0,49,49,False
2,group=trivial-full_conv_hc=49-bn=False-drop=0.0-seed19,0.04886793670340763,0.1697487235069275,149621.0,0.9448999762535096,11430.215109544924,0.14317390322685242,0.15172446563933284,0.07629885753157302,44.0,0.94853937625885,0.9541015625,7500000.0,1709433057.9694612,2112.0,16.269794483854167,0.019949466666666665,2165.0,{'runtime': 2170},2171.7685141563416,0.16998715698719025,21502.452763786936,False,trivial,19,19,0,False,1024,False,1024,-1,-1,group=trivial-full_conv_hc=49-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,2401.0,49,49,False
3,group=translate_HW-full_conv_hc=19-bn=False-drop=0.0-seed19,0.04548288285410575,0.12523481249809265,95017.0,0.964900016784668,44780.615892084665,0.01984037272632122,0.7468346168157048,0.46890648444238137,16.0,0.9879631996154784,0.9931640625,7500000.0,1709432654.638704,768.0,21.988373739062503,0.012668933333333332,794.0,{'runtime': 1943},1944.5865950584412,0.12459056079387663,69889.86082668659,False,translate_HW,19,19,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=19-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,931.0,19,19,False
4,group=translate_H-full_conv_hc=19-bn=False-drop=0.0-seed19,0.04436201765639827,0.13243624567985535,80440.0,0.9592000246047974,19747.51245652889,0.08481079339981079,0.2239904364687086,0.24427707872213755,27.0,0.9671186208724976,0.966796875,7500000.0,1709430871.5255396,1296.0,15.537068740624996,0.010725333333333332,1332.0,{'runtime': 1195},1197.0609147548676,0.13076381385326383,17993.023792208016,False,translate_H,19,19,0,False,1024,False,1024,-1,-1,group=translate_H-full_conv_hc=19-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,931.0,19,19,False
5,group=trivial-full_conv_hc=19-bn=False-drop=0.0-seed19,0.04237091991775054,0.176069974899292,67536.0,0.9466999769210817,10781.062013046612,0.13375595211982727,0.1866369570370182,0.15934123510500017,45.0,0.948235034942627,0.9521484375,7500000.0,1709430692.5822124,2160.0,13.379683373860678,0.0090048,2215.0,{'runtime': 986},987.7883853912354,0.17221830785274506,12647.87322390061,False,trivial,19,19,0,False,1024,False,1024,-1,-1,group=trivial-full_conv_hc=19-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,931.0,19,19,False
6,group=translate_HW-full_conv_hc=7-bn=False-drop=0.0-seed19,0.04010786229479232,0.12757080793380737,34058.0,0.9581000208854676,32297.28603114822,0.051959458738565445,2.7271689531612973,0.9500977009438264,26.0,0.9795611500740052,0.984375,7500000.0,1709429653.4154067,1248.0,17.797294957617186,0.004541066666666667,1283.0,{'runtime': 901},902.6671977043152,0.1346549689769745,92278.68371009686,False,translate_HW,19,19,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=7-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,343.0,7,7,False
7,group=translate_H-full_conv_hc=7-bn=False-drop=0.0-seed19,0.038451725383092675,0.13303272426128387,31252.0,0.9589999914169312,24454.241833836422,0.07300013303756714,1.853945467316883,0.7828885521624318,62.0,0.9687753319740297,0.9775390625,7500000.0,1709429690.010812,2976.0,17.691769578190108,0.0041669333333333326,3048.0,{'runtime': 1096},1097.4244101047516,0.12904973328113556,55058.68595126498,False,translate_H,19,19,0,False,1024,False,1024,-1,-1,group=translate_H-full_conv_hc=7-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,343.0,7,7,False
8,group=trivial-full_conv_hc=7-bn=False-drop=0.0-seed19,0.039997915848402205,0.19776473939418793,26442.0,0.9398000240325928,10840.400081449883,0.20046111941337583,0.629016733919404,0.4090952052954361,46.0,0.941692590713501,0.931640625,7500000.0,1709428732.452819,2208.0,12.433366992708333,0.0035255999999999994,2263.0,{'runtime': 775},776.9700644016266,0.19186490774154663,16660.954920629054,False,trivial,19,19,0,False,1024,False,1024,-1,-1,group=trivial-full_conv_hc=7-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,343.0,7,7,False
9,group=translate_HW-full_conv_hc=3-bn=False-drop=0.0-seed19,0.03758784184876095,0.15567392110824585,11652.0,0.9495000243186952,16204.387707495684,0.1186692714691162,5.40711023963536,1.400693854788977,42.0,0.9588517546653748,0.9638671875,7500000.0,1709428575.027989,2016.0,15.789336986881512,0.0015535999999999998,2068.0,{'runtime': 936},937.32967877388,0.16435712575912476,60369.01217789518,False,translate_HW,19,19,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=3-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,147.0,3,3,False
