,Name,val_accuracy,test_accuracy,layer1_mean_group_std,layer4_mean_group_std,_step,val_loss,_timestamp,layer2_mean_group_std,layer7_mean_group_std,_wandb,_runtime,smoothness_penalty,smoothness_penalty_old,epoch,train_loss,trainer/global_step,layer0_mean_group_std,layer3_mean_group_std,layer5_mean_group_std,layer6_mean_group_std,layer8_mean_group_std,test_loss,num_polygons,train_accuracy,smoothness_penalty_per_edge,smoothness_penalty_old_per_polygon,cpu,pool,seed,group,augment,dataset,dropout,ablation,patience,batch-norm,batch-size,batch_norm,batch_size,max-epochs,max_epochs,min_epochs,model_name,log-results,log_results,learning_rate,plot-polygons,plot_polygons,group-hidden-dim,group_hidden_dim,gradient_clip_val,num-hidden-linears,num_hidden_linears
0,group=rot90-num_hidden_linears=8-group_hidden_dim=20-batch_norm=False-dropout=0.35-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed0,0.968649923801422,0.984000027179718,0.016372622922062874,0.06161683052778244,5330,0.07897553592920303,1701868668.232591,0.01679900847375393,0.6755326390266418,{'runtime': 112},109.0570137500763,1293956.25,1000126.375,9.0,0.1891590654850006,5312.0,0.04382031038403511,0.026691218838095665,0.13980400562286377,0.308971107006073,4.73095703125,0.04952352121472359,197270.0,0.953125,1.9535000324249268,5.069799900054932,True,mean,0,rot90,trivial,pinwheel,0.35,False,5,False,64,False,64,-1,-1,1,group=rot90-num_hidden_linears=8-group_hidden_dim=20-batch_norm=False-dropout=0.35-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed0,True,True,0.001,False,False,20,20,1,8,8
1,group=rot180-num_hidden_linears=8-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed4,0.8350620269775391,0.843375027179718,0.18968906998634336,0.23559251427650452,7838,0.4799986183643341,1701514345.4310966,0.23609142005443573,0.2985169291496277,{'runtime': 201},202.46070051193237,6593523.0,3828354.25,13.0,0.5489833950996399,7812.0,0.07966604083776474,0.24035689234733584,0.23977191746234897,0.21557268500328064,2.122772455215454,0.38135212659835815,146317.0,0.875,13.693900108337402,26.1648006439209,True,mean,4,rot180,trivial,pinwheel,0.5,True,5,True,64,True,64,-1,-1,1,group=rot180-num_hidden_linears=8-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed4,True,True,0.001,False,False,40,40,1,8,8
2,group=rot180-num_hidden_linears=8-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed3,0.84830242395401,0.869225025177002,0.1408444494009018,0.2601696848869324,7211,0.3659934103488922,1701514029.010846,0.23142750561237335,0.26887384057044983,{'runtime': 188},189.83559799194336,2226778.25,1658682.75,12.0,0.6122475266456604,7187.0,0.0743246078491211,0.21307328343391416,0.24286751449108124,0.23889198899269104,1.7793679237365725,0.3552957773208618,139326.0,0.765625,4.849299907684326,11.904999732971191,True,mean,3,rot180,trivial,pinwheel,0.5,True,5,True,64,True,64,-1,-1,1,group=rot180-num_hidden_linears=8-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed3,True,True,0.001,False,False,40,40,1,8,8
3,group=rot180-num_hidden_linears=8-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed2,0.833811342716217,0.8809999823570251,0.15234945714473724,0.24364428222179413,7838,0.4048297703266144,1701514129.5672345,0.23161569237709043,0.2733883857727051,{'runtime': 202},203.81263637542725,2024593.625,1679377.875,13.0,0.5435141921043396,7812.0,0.0668647289276123,0.2486194372177124,0.2164154350757599,0.25663381814956665,2.0067100524902344,0.364763468503952,141224.0,0.875,4.33519983291626,11.891599655151367,True,mean,2,rot180,trivial,pinwheel,0.5,True,5,True,64,True,64,-1,-1,1,group=rot180-num_hidden_linears=8-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed2,True,True,0.001,False,False,40,40,1,8,8
4,group=rot180-num_hidden_linears=8-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed1,0.8105823397636414,0.8470500111579895,0.16366338729858398,0.23835937678813937,6897,0.472699910402298,1701513912.9012957,0.22559472918510437,0.3004223108291626,{'runtime': 171},172.6169216632843,1850275.625,1494813.625,11.0,0.5226151347160339,6874.0,0.08251704275608063,0.22107191383838656,0.23421573638916016,0.25329872965812683,1.983161687850952,0.4027992784976959,145102.0,0.796875,3.8970000743865967,10.301799774169922,True,mean,1,rot180,trivial,pinwheel,0.5,True,5,True,64,True,64,-1,-1,1,group=rot180-num_hidden_linears=8-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed1,True,True,0.001,False,False,40,40,1,8,8
5,group=rot180-num_hidden_linears=8-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed0,0.8156350255012512,0.8170499801635742,0.178937628865242,0.28078383207321167,8151,0.4398728907108307,1701513824.598585,0.23907148838043213,0.3089507222175598,{'runtime': 212},213.14841198921204,1938385.0,1438809.875,13.0,0.5038894414901733,8124.0,0.08207197487354279,0.29261723160743713,0.28262656927108765,0.21459853649139404,2.0874133110046387,0.41348880529403687,142777.0,0.84375,4.172299861907959,10.077300071716309,True,mean,0,rot180,trivial,pinwheel,0.5,True,5,True,64,True,64,-1,-1,1,group=rot180-num_hidden_linears=8-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed0,True,True,0.001,False,False,40,40,1,8,8
6,group=rot180-num_hidden_linears=6-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed4,0.9233590960502625,0.9537500143051147,0.15221190452575684,0.2750093340873718,7211,0.1386130303144455,1701513593.9997122,0.15437734127044678,,{'runtime': 160},162.81600618362427,1219657.125,1049083.75,12.0,0.5281662940979004,7187.0,0.06977708637714386,0.23267653584480288,0.3737808167934418,2.3088293075561523,,0.13457269966602323,123228.0,0.828125,3.0652999877929688,8.513400077819824,True,mean,4,rot180,trivial,pinwheel,0.5,True,5,True,64,True,64,-1,-1,1,group=rot180-num_hidden_linears=6-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed4,True,True,0.001,False,False,40,40,1,6,6
7,group=rot180-num_hidden_linears=6-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed3,0.9205909967422484,0.9611250162124634,0.12698040902614594,0.27032917737960815,9405,0.13826289772987366,1701513726.477194,0.13989049196243286,,{'runtime': 196},198.01165795326233,3526029.5,2558773.75,15.0,0.4551906883716583,9374.0,0.05789834260940552,0.17753997445106506,0.37008053064346313,2.2880444526672363,,0.12776587903499603,124569.0,0.875,8.73740005493164,20.541000366210938,True,mean,3,rot180,trivial,pinwheel,0.5,True,5,True,64,True,64,-1,-1,1,group=rot180-num_hidden_linears=6-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed3,True,True,0.001,False,False,40,40,1,6,6
8,group=rot180-num_hidden_linears=6-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed2,0.9123365879058838,0.942674994468689,0.1563238799571991,0.29073747992515564,9092,0.1748848706483841,1701513512.3886182,0.14901085197925568,,{'runtime': 194},195.75211024284363,928260.8125,796487.625,15.0,0.5802736878395081,9062.0,0.06002186983823776,0.2114303559064865,0.3517475426197052,2.321153163909912,,0.15850168466567993,129608.0,0.796875,2.213599920272827,6.145400047302246,True,mean,2,rot180,trivial,pinwheel,0.5,True,5,True,64,True,64,-1,-1,1,group=rot180-num_hidden_linears=6-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed2,True,True,0.001,False,False,40,40,1,6,6
9,group=rot180-num_hidden_linears=6-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed1,0.9045657515525818,0.950124979019165,0.13614092767238617,0.23796913027763367,10346,0.1864957958459854,1701513415.4009848,0.15433380007743835,,{'runtime': 226},227.82605385780337,2158784.75,1552037.0,17.0,0.4882311224937439,10312.0,0.06807685643434525,0.2040971964597702,0.3432721793651581,2.3936824798583984,,0.14718472957611084,128062.0,0.84375,5.199699878692627,12.119400024414062,True,mean,1,rot180,trivial,pinwheel,0.5,True,5,True,64,True,64,-1,-1,1,group=rot180-num_hidden_linears=6-group_hidden_dim=40-batch_norm=True-dropout=0.5-batch_size=64-patience=5-pool=mean-dataset=pinwheel-cpu=True-seed1,True,True,0.001,False,False,40,40,1,6,6
